Round,Theta,mu_t,Sb,Sa,Bid,Ask,Trader Type,Trade,Price,Spread Size,Pricing Error
57,6.075280737654995e-66,98.0,8.310984049112035e-63,8.310984049112035e-63,98.0,98.0,I,-1,98.0,0.0,0.0
58,3.197516177713155e-67,98.0,4.374202131111597e-64,4.374202131111597e-64,98.0,98.0,I,-1,98.0,0.0,0.0
59,1.6829032514279757e-68,98.0,2.302211647953472e-65,2.302211647953472e-65,98.0,98.0,I,-1,98.0,0.0,0.0
60,8.85738553383145e-70,98.0,1.2116903410281428e-66,1.2116903410281428e-66,98.0,98.0,I,-1,98.0,0.0,0.0
61,4.661781859911289e-71,98.0,6.377317584358645e-68,6.377317584358645e-68,98.0,98.0,I,-1,98.0,0.0,0.0
62,2.45356939995331e-72,98.0,3.356482939136129e-69,3.356482939136129e-69,98.0,98.0,I,-1,98.0,0.0,0.0
63,1.2913523157648997e-73,98.0,1.7665699679663837e-70,1.7665699679663837e-70,98.0,98.0,I,-1,98.0,0.0,0.0
64,6.796591135604735e-75,98.0,9.29773667350728e-72,9.29773667350728e-72,98.0,98.0,I,-1,98.0,0.0,0.0
65,3.577153229265649e-76,98.0,4.89354561763541e-73,4.89354561763541e-73,98.0,98.0,I,-1,98.0,0.0,0.0
66,1.8827122259292887e-77,98.0,2.5755503250712677e-74,2.5755503250712677e-74,98.0,98.0,I,-1,98.0,0.0,0.0
67,9.909011715417306e-79,98.0,1.3555528026690882e-75,1.3555528026690882e-75,98.0,98.0,I,-1,98.0,0.0,0.0
68,5.215269323903844e-80,98.0,7.134488435100462e-77,7.134488435100462e-77,98.0,98.0,I,-1,98.0,0.0,0.0
69,2.7448785915283384e-81,98.0,3.7549939132107686e-78,3.7549939132107686e-78,98.0,98.0,I,-1,98.0,0.0,0.0
70,1.4446729429096514e-82,98.0,1.976312585900404e-79,1.976312585900404e-79,98.0,98.0,I,-1,98.0,0.0,0.0
71,7.603541804787638e-84,98.0,1.0401645188949492e-80,1.0401645188949492e-80,98.0,98.0,I,-1,98.0,0.0,0.0
72,4.0018641077829666e-85,98.0,5.474550099447101e-82,5.474550099447101e-82,98.0,98.0,I,-1,98.0,0.0,0.0
73,2.1062442672541924e-86,98.0,2.8813421576037365e-83,2.8813421576037365e-83,98.0,98.0,I,-1,98.0,0.0,0.0
74,1.1085496143443116e-87,98.0,1.5164958724230189e-84,1.5164958724230189e-84,98.0,98.0,I,-1,98.0,0.0,0.0
75,5.834471654443744e-89,98.0,7.981557223279045e-86,7.981557223279045e-86,98.0,98.0,I,-1,98.0,0.0,0.0
76,3.070774554970391e-90,98.0,4.200819591199497e-87,4.200819591199497e-87,98.0,98.0,I,-1,98.0,0.0,0.0
77,1.6161971341949426e-91,98.0,2.2109576795786822e-88,2.2109576795786822e-88,98.0,98.0,U,-1,98.0,0.0,0.0
78,8.50630070628917e-93,98.0,1.163661936620359e-89,1.163661936620359e-89,98.0,98.0,U,-1,98.0,0.0,0.0
79,4.477000371731141e-94,98.0,6.124536508528204e-91,6.124536508528204e-91,98.0,98.0,I,-1,98.0,0.0,0.0
80,2.3563159851216525e-95,98.0,3.223440267646422e-92,3.223440267646422e-92,98.0,98.0,I,-1,98.0,0.0,0.0
81,1.2401663079587643e-96,98.0,1.6965475092875902e-93,1.6965475092875902e-93,98.0,98.0,I,-1,98.0,0.0,0.0
82,6.527191094519811e-98,98.0,8.929197417303106e-95,8.929197417303106e-95,98.0,98.0,I,-1,98.0,0.0,0.0
83,3.4353637339577948e-99,98.0,4.6995775880542655e-96,4.6995775880542655e-96,98.0,98.0,I,-1,98.0,0.0,0.0
84,1.80808617576726e-100,98.0,2.4734618884496125e-97,2.4734618884496125e-97,98.0,98.0,I,-1,98.0,0.0,0.0
85,9.516243030353998e-102,98.0,1.3018220465524275e-98,1.3018220465524275e-98,98.0,98.0,I,-1,98.0,0.0,0.0
86,5.008548963344208e-103,98.0,6.85169498185488e-100,6.85169498185488e-100,98.0,98.0,I,-1,98.0,0.0,0.0
87,2.636078401760109e-104,98.0,3.606155253607831e-101,3.606155253607831e-101,98.0,98.0,U,-1,98.0,0.0,0.0
88,1.3874096851368993e-105,98.0,1.8979764492672788e-102,1.8979764492672788e-102,98.0,98.0,I,-1,98.0,0.0,0.0
89,7.302156237562627e-107,98.0,9.989349732985677e-104,9.989349732985677e-104,98.0,98.0,I,-1,98.0,0.0,0.0
90,3.843240125032961e-108,98.0,5.257552491045093e-105,5.257552491045093e-105,98.0,98.0,I,-1,98.0,0.0,0.0
91,2.0227579605436632e-109,98.0,2.767132890023732e-106,2.767132890023732e-106,98.0,98.0,I,-1,98.0,0.0,0.0
92,1.0646094529177174e-110,98.0,1.456385731591438e-107,1.456385731591438e-107,98.0,98.0,I,-1,98.0,0.0,0.0
93,5.603207646935354e-112,98.0,7.665188061007567e-109,7.665188061007567e-109,98.0,98.0,I,-1,98.0,0.0,0.0
94,2.9490566562817647e-113,98.0,4.034309505793456e-110,4.034309505793456e-110,98.0,98.0,U,-1,98.0,0.0,0.0
95,1.5521350822535602e-114,98.0,2.1233207925228712e-111,2.1233207925228712e-111,98.0,98.0,I,-1,98.0,0.0,0.0
96,8.169132011860841e-116,98.0,1.1175372592225635e-112,1.1175372592225635e-112,98.0,98.0,I,-1,98.0,0.0,0.0
97,4.299543164137284e-117,98.0,5.881775048539807e-114,5.881775048539807e-114,98.0,98.0,I,-1,98.0,0.0,0.0
98,8.169132011860841e-116,98.0,3.0956710781788454e-115,3.0956710781788454e-115,98.0,98.0,U,1,98.0,0.0,0.0
99,4.299543164137284e-117,98.0,5.881775048539807e-114,5.881775048539807e-114,98.0,98.0,U,-1,98.0,0.0,0.0
100,2.2629174548090964e-118,98.0,3.0956710781788454e-115,3.0956710781788454e-115,98.0,98.0,I,-1,98.0,0.0,0.0
